Operation_ID,Operation_Name,Operation_Start_DateTime,Operation_Priority,Operation_Nature,Operation_Habitat,Operation_Expenditure,Friendlies_Contact_ID,Operation_Location_Country,Operation_Location_City,Operation_Location_X,Operation_Location_Y
OP001,OP-TITAN-001,2024-01-03 11:00:00,9,Reconnaissance,Grassland,48667272.08,FC4801,Spain,Madrid,-64.803223,-35.48753
OP002,OP-ONYX-002,2024-01-05 18:00:00,2,Spying,Marine,30660098.94,FC9359,USA,Los Angeles,-64.642728,143.368448
OP003,OP-IRON-003,2024-01-07 13:00:00,7,Sneak,Grassland,26034653.46,FC1501,Kenya,Nairobi,17.329074,16.515603
OP004,OP-ONYX-004,2024-01-10 01:00:00,1,Surgical Strike,High Altitude,27680927.03,FC7028,Australia,Sydney,-61.577752,30.888096
OP005,OP-TITAN-005,2024-01-12 00:00:00,3,Resupply,Grassland,26417492.25,FC9709,Kenya,Mombasa,48.860982,-15.580726
OP006,OP-PHOENIX-006,2024-01-14 02:00:00,10,Reconnaissance,Grassland,42783124.21,FC5008,Greece,Athens,-21.639025,15.738713
OP007,OP-COPPER-007,2024-01-15 14:00:00,6,Infiltration,Grassland,3867651.17,FC3404,Norway,Bergen,28.321693,-80.305583
OP008,OP-COPPER-008,2024-01-17 06:00:00,6,Resupply,Swamp,27438008.16,FC9832,Brazil,Fortaleza,10.887262,-123.947493
OP009,OP-FALCON-009,2024-01-19 22:00:00,4,Infiltration,Swamp,1322672.38,FC7680,Vietnam,Ho Chi Minh City,31.543805,-105.362015
OP010,OP-COPPER-010,2024-01-22 02:00:00,8,Reinforcements,High Altitude,12996864.21,FC1186,Australia,Melbourne,-60.355106,-23.670204
OP011,OP-COPPER-011,2024-01-23 13:00:00,6,Infiltration,Rainforest,45393953.12,FC3236,Vietnam,Hanoi,38.158001,-64.487868
OP012,OP-PHOENIX-012,2024-01-25 13:00:00,10,Search and Rescue,Mountain,39626851.01,FC2269,Qatar,Doha,69.36044,-124.143074
OP013,OP-FALCON-013,2024-01-28 02:00:00,10,Perimeter Hold,Urban,596849.08,FC6783,Finland,Espoo,37.52456,144.741291
OP014,OP-TITAN-014,2024-01-29 16:00:00,5,Surgical Strike,High Altitude,15447500.65,FC9310,Qatar,Al Rayyan,-4.66017,-26.179604
OP015,OP-FALCON-015,2024-01-31 16:00:00,2,Search and Rescue,Rainforest,48038332.9,FC3550,Norway,Bergen,-35.100731,-138.336384
OP016,OP-TITAN-016,2024-02-03 02:00:00,3,Resupply,Tundra,31363778.57,FC2667,Canada,Vancouver,-46.574581,-53.504913
OP017,OP-IRON-017,2024-02-04 06:00:00,10,Surgical Strike,Rainforest,29619782.91,FC6511,Egypt,Giza,42.418845,-98.282187
OP018,OP-EMBER-018,2024-02-06 12:00:00,1,Escort,Jungle,27883689.69,FC8094,Brazil,Fortaleza,35.82504,-77.359643
OP019,OP-ONYX-019,2024-02-08 14:00:00,8,Escort,Rainforest,49780364.77,FC1893,Brazil,Brasília,-19.576329,90.905003
OP020,OP-TITAN-020,2024-02-10 23:00:00,3,Resupply,Rainforest,5051436.35,FC7406,Turkey,Izmir,-13.031471,-53.772672
OP021,OP-EMBER-021,2024-02-12 08:00:00,2,Perimeter Hold,Jungle,24630301.46,FC7061,USA,Los Angeles,63.832557,-88.283195
OP022,OP-FALCON-022,2024-02-14 22:00:00,1,Defend Perimeter,Tundra,34940096.26,FC6034,UAE,Sharjah,-57.554308,-86.775392
OP023,OP-TITAN-023,2024-02-16 06:00:00,10,Search and Rescue,Grassland,14930650.63,FC5187,France,Bordeaux,-67.928169,60.192285
